sample_name,tissue,age,starsolo
WS_wEMB12142125,embryo,6pcw,/home/vijay/Projects/data/WS_wEMB12142125/output/GeneFull/filtered
WS_wEMB12142127,embryo,6pcw,/home/vijay/Projects/data/WS_wEMB12142127/output/GeneFull/filtered
